deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,required_mass_flow_kg_s,required_volumetric_flow_m3_s,actual_mass_flow_kg_s,actual_volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_assist_power_mw,pump_energy_mw,aux_energy_mw,hydra_total_power_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,positive_retrofit_benefit,required_velocity_ms,velocity_margin_ms,natural_velocity_ms,natural_velocity_margin_ms,required_flow_capacity_ratio,actual_cooling_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,pump_fraction_of_baseline,pump_fraction_of_hydra_total,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
5.0,24.0,30.0,1.0,50.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,3442.893758384046,40000.0,43442.893758384045,-1.4443076160576838,0.0,0.025963712802634875,0.025963712802634875,1.6,1.6259637128026347,1.6259637128026347,8.512,0.04256,0.8089798269733747,0.6667553734546867,0.6667553734546867,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6667553734546867,0.0030502482145952628,0.0159681994119548,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,100.0,1.0,125.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,4070.3897236598436,40000.0,44070.38972365984,-1.5069096923657823,0.0,0.0270890840961469,0.0270890840961469,1.6,1.627089084096147,1.627089084096147,8.512,0.04256,0.8088476169999828,0.6572617812878773,0.6572617812878773,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6572617812878773,0.0031824581879871827,0.016648802060641302,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,300.0,1.0,375.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,6162.042941245836,40000.0,46162.04294124583,-1.7155832800594442,0.0,0.030840321741186984,0.030840321741186984,1.6,1.630840321741187,1.630840321741187,8.512,0.04256,0.8084069170886763,0.6274805230931986,0.6274805230931986,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6274805230931986,0.003623158099293584,0.018910693665128375,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,600.0,1.0,750.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,9299.522767624821,40000.0,49299.52276762482,-2.028593661599938,0.0,0.036467178208747106,0.036467178208747106,1.6,1.6364671782087472,1.6364671782087472,8.512,0.04256,0.8077458672217167,0.5875469218709267,0.5875469218709267,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.5875469218709267,0.004284207966253184,0.022284087755834823,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,20276.047996276542,2.0228380326424586,2815.3977931082486,40000.0,42815.39779310825,-2.2486361251677813,0.0,0.04042278937145359,0.04042278937145359,1.6,1.6404227893714536,1.6404227893714536,8.512,0.04256,0.8072811572636921,0.4735690672373074,0.4735690672373074,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.4735690672373074,0.004748917924277912,0.0246416897115542,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,100.0,1.0,125.0,175.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,20276.047996276542,2.0228380326424586,3442.893758384046,40000.0,43442.893758384045,-2.31123820147588,0.0,0.04154816066496561,0.04154816066496561,1.6,1.6415481606649656,1.6415481606649656,8.512,0.04256,0.8071489472903001,0.4667287614182807,0.4667287614182807,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.4667287614182807,0.0048811278976698316,0.025310351325991614,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,250.0,1,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,1.5603701011835571,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,12957.528784952552,40000.0,52957.52878495255,-2.3935342899139136,0.0,0.043027562962114484,0.043027562962114484,1.6,1.6430275629621145,1.6430275629621145,8.512,0.04256,0.806975145328699,0.5469625097018127,0.5469625097018127,True,1.5603701011835571,1.0603701011835571,0.0,-0.5,1.9226207921598015,1.0,0.0,0.5469625097018127,0.005054929859270968,0.02618797391599609,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,1000.0,1.0,1250.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,13482.829202796805,40000.0,53482.829202796805,-2.4459408369872624,0.0,0.04396965349882729,0.04396965349882729,1.6,1.6439696534988273,1.6439696534988273,8.512,0.04256,0.8068644673991039,0.5415903250366738,0.5415903250366738,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.5415903250366738,0.005165607788865988,0.02674602502865401,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,300.0,1.0,375.0,175.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,20276.047996276542,2.0228380326424586,5534.546975970037,40000.0,45534.546975970035,-2.5199117891695417,0.0,0.04529939831000569,0.04529939831000569,1.6,1.6452993983100057,1.6452993983100057,8.512,0.04256,0.8067082473789937,0.4452893317897031,0.4452893317897031,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.4452893317897031,0.005321827808976233,0.02753261707658537,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,100.0,1.0,125.0,250.0,1,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,1.5603701011835571,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,15264.001083909834,40000.0,55264.00108390983,-2.623639283176105,0.0,0.04716406400461341,0.04716406400461341,1.6,1.6471640640046132,1.6471640640046132,8.512,0.04256,0.8064891842099844,0.5241347402234516,0.5241347402234516,True,1.5603701011835571,1.0603701011835571,0.0,-0.5,1.9226207921598015,1.0,0.0,0.5241347402234516,0.0055408909779855985,0.028633495008352317,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
