deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,mass_flow_kg_s,volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_energy_mw,aux_energy_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,required_velocity_ms,natural_velocity_ms,required_flow_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
5.0,24.0,30.0,1.0,50.0,175.0,1,50.0,30.0,40.0,0.045,0.85,0.82,417.39711161198767,0.4074277617106888,0.5187531378329837,1027.7435,1021.1945000000001,11242.995749999962,1.1187014931637718,1298.1987488498853,40000.0,41298.198748849885,-2.990555295029245,0.0,0.017919986466705083,0.4,0.4179199864667051,1.6280000000000003,0.032560000000000006,0.743292391605218,0.2722393734015595,0.2722393734015595,0.5187531378329837,0.0,5.7830975491195415,0.0,0.2722393734015595,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,50.0,40.0,40.0,0.045,0.85,0.82,313.0478337089907,0.3061240724992392,0.3897692747014052,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,754.5974187555014,40000.0,40754.597418755504,-2.3080899876259093,0.0,0.010372891635946827,0.4,0.4103728916359468,1.6280000000000003,0.032560000000000006,0.747928199240819,0.4318560877723316,0.4318560877723316,0.3897692747014052,0.0,7.696861181010849,0.0,0.4318560877723316,FAIL,VELOCITY_TOO_LOW,VELOCITY_TOO_LOW|INSUFFICIENT_NATURAL_CIRCULATION,2,False,False,False,INFEASIBLE,NO_VALID_LAYER,False,False,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,100.0,30.0,40.0,0.045,0.85,0.82,834.7942232239753,0.8148555234213776,1.0375062756659674,1027.7435,1021.1945000000001,11242.995749999962,1.1187014931637718,4869.063900082228,40000.0,44869.06390008223,-3.3458638146976005,0.0,0.04009812784834859,0.8,0.8400981278483486,3.5893333333333337,0.03589333333333333,0.7659459153468569,0.25057344131441434,0.25057344131441434,1.0375062756659674,0.0,2.8915487745597708,0.0,0.25057344131441434,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,100.0,40.0,40.0,0.045,0.85,0.82,626.0956674179814,0.6122481449984783,0.7795385494028104,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,2813.06481067122,40000.0,42813.06481067122,-2.5132826204114473,0.0,0.022590114260537926,0.8,0.8225901142605379,3.5893333333333337,0.03589333333333333,0.7708237051651547,0.41109229338828507,0.41109229338828507,0.7795385494028104,0.0,3.8484305905054246,0.0,0.41109229338828507,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,150.0,30.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2222832851320662,1.5562594134989511,1027.7435,1021.1945000000001,11242.995749999962,1.1187014931637718,10622.997010431227,40000.0,50622.99701043122,-3.9183921430225404,0.0,0.07043929362308024,1.2,1.2704392936230802,5.884,0.03922666666666667,0.7840857760667777,0.22209265381271803,0.22209265381271803,1.5562594134989511,0.0,1.927699183039847,0.0,0.22209265381271803,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,150.0,40.0,40.0,0.045,0.85,0.82,939.1435011269722,0.9183722174977175,1.1693078241042156,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,6115.375770817533,40000.0,46115.37577081753,-2.8424643615700202,0.0,0.03832334305812872,1.2,1.2383233430581286,5.884,0.03922666666666667,0.7895439593714941,0.38165407319824385,0.38165407319824385,1.1693078241042156,0.0,2.565620393670283,0.0,0.38165407319824385,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,200.0,30.0,40.0,0.045,0.85,0.82,1669.5884464479507,1.6297110468427551,2.075012551331935,1027.7435,1021.1945000000001,11242.995749999962,1.1187014931637718,18533.038309646206,40000.0,58533.0383096462,-4.705457726714408,0.0,0.11278405575383345,1.6,1.7127840557538334,8.512,0.04256,0.7987800686379425,0.1920794832231889,0.1920794832231889,2.075012551331935,0.0,1.4457743872798854,0.0,0.1920794832231889,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,1,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,1.5590770988056208,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,10642.230476477735,40000.0,50642.23047647774,-3.293711361614825,0.0,0.059209668977005074,1.6,1.6592096689770053,8.512,0.04256,0.8050740520468743,0.3475384246389978,0.3475384246389978,1.5590770988056208,0.0,1.9242152952527123,0.0,0.3475384246389978,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,2,50.0,30.0,40.0,0.045,0.85,0.82,417.39711161198767,0.4074277617106888,0.25937656891649186,1027.7435,1021.1945000000001,11242.995749999962,1.1187014931637718,351.1967529214975,40000.0,40351.196752921496,-2.8963266240921266,0.0,0.017355350022505094,0.4,0.4173553500225051,1.6280000000000003,0.032560000000000006,0.7436392198878962,0.2786285576322083,0.2786285576322083,0.25937656891649186,0.0,11.566195098239083,0.0,0.2786285576322083,FAIL,VELOCITY_TOO_LOW,VELOCITY_TOO_LOW|INSUFFICIENT_NATURAL_CIRCULATION,2,False,False,False,INFEASIBLE,NO_VALID_LAYER,False,False,stage_2_candidates
5.0,24.0,30.0,1.0,50.0,175.0,2,50.0,40.0,40.0,0.045,0.85,0.82,313.0478337089907,0.3061240724992392,0.1948846373507026,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,205.35381410327724,40000.0,40205.35381410328,-2.2533401568917317,0.0,0.010126837944653702,0.4,0.4101268379446537,1.6280000000000003,0.032560000000000006,0.7480793378718344,0.43775565516417186,0.43775565516417186,0.1948846373507026,0.0,15.393722362021698,0.0,0.43775565516417186,FAIL,VELOCITY_TOO_LOW,VELOCITY_TOO_LOW|INSUFFICIENT_NATURAL_CIRCULATION,2,False,False,False,INFEASIBLE,NO_VALID_LAYER,False,False,stage_2_candidates
