deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,required_mass_flow_kg_s,required_volumetric_flow_m3_s,actual_mass_flow_kg_s,actual_volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_assist_power_mw,pump_energy_mw,aux_energy_mw,hydra_total_power_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,positive_retrofit_benefit,required_velocity_ms,velocity_margin_ms,natural_velocity_ms,natural_velocity_margin_ms,required_flow_capacity_ratio,actual_cooling_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,pump_fraction_of_baseline,pump_fraction_of_hydra_total,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
6.137714024869583,34.110581458829905,558.6555134522623,0.7709520831424159,1163.2468358326032,215.7967968144384,7,187.32450823107808,22.764724590065196,20.961928225067595,0.018378962885591172,0.7654139164455078,0.8839447873616922,2060.785976841833,2.010881784759341,2060.785976841833,2.010881784759341,0.6153806642573619,1027.5351723079068,1022.0989657709404,11508.26754306586,1.1447076682657593,10441.044364920443,20961.928225067597,31402.97258998804,-1.9788922476710435,0.0,0.05431004365522111,0.05431004365522111,1.4985960658486248,1.5529061095038459,1.5529061095038459,8.890937457664105,0.04746275616373967,0.8253383159089461,0.36647064255104783,0.36647064255104783,True,0.6153806642573619,0.11538066425736193,0.0,-0.5,4.875031300537178,1.0,0.0,0.36647064255104783,0.006108472128369899,0.03497316632527976,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.681420012788649,34.546106274400515,104.37720684111724,0.6321037740350428,259.84302242561387,91.94795136947094,14,197.5479653364582,20.303472448050805,57.46548920191947,0.08776271237881154,0.834111635398917,0.7179636507922253,2436.704864566516,2.3765389760838076,2436.704864566516,2.3765389760838076,0.5409414459439127,1027.5932194005927,1023.0399821485379,4107.062815145145,0.4083234750215959,3137.0636785621427,57465.48920191947,60602.55288048161,-5.616771854927423,0.0,0.2244075737791068,0.2244075737791068,1.5803837226916655,1.8047912964707722,1.8047912964707722,9.587673864464646,0.048533397183490035,0.8117592106298093,0.06777045883273203,0.06777045883273203,True,0.5409414459439127,0.04094144594391269,0.0,-0.5,5.545886754462246,1.0,0.0,0.06777045883273203,0.023405841390876016,0.12433990246846305,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.0,24.0,30.0,1.0,50.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,3442.893758384046,40000.0,43442.893758384045,-1.4443076160576838,0.0,0.025963712802634875,0.025963712802634875,1.6,1.6259637128026347,1.6259637128026347,8.512,0.04256,0.8089798269733747,0.6667553734546867,0.6667553734546867,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6667553734546867,0.0030502482145952628,0.0159681994119548,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,100.0,1.0,125.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,4070.3897236598436,40000.0,44070.38972365984,-1.5069096923657823,0.0,0.0270890840961469,0.0270890840961469,1.6,1.627089084096147,1.627089084096147,8.512,0.04256,0.8088476169999828,0.6572617812878773,0.6572617812878773,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6572617812878773,0.0031824581879871827,0.016648802060641302,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,30.0,0.5,50.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.6241480404734228,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,4392.393798360644,40000.0,44392.393798360645,-1.5390343987725852,0.0,0.027666576481939237,0.027666576481939237,1.6,1.6276665764819394,1.6276665764819394,8.512,0.04256,0.8087797724997722,0.6524942760102588,0.6524942760102588,True,0.6241480404734228,0.12414804047342276,0.0,-0.5,4.806551980399503,1.0,0.0,0.6524942760102588,0.0032503026881977484,0.016997692820932744,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
2.0010782330417545,31.8821074744173,774.852343114146,0.6622804956719992,1521.504215864879,103.32783069761182,5,124.25584308287739,33.46494689262597,17.83679608051586,0.09516661763992205,0.8191558121143419,0.7763921396437977,929.8809916557857,0.9082068775431685,929.8809916557857,0.9082068775431685,0.5272796014115323,1027.9716890187137,1019.7577758169828,8326.000418525435,0.8289433221018148,11664.709100856484,17836.796080515862,29501.505181372348,-2.108250346257594,0.0,0.029724781711297152,0.029724781711297152,0.9940467446630192,1.0237715263743163,1.0237715263743163,5.352861216918186,0.04307935211825718,0.808743121690023,0.2822229024362657,0.2822229024362657,True,0.5272796014115323,0.027279601411532295,0.0,-0.5,5.689580996437131,1.0,0.0,0.2822229024362657,0.005553064147702799,0.029034585301046002,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.797217915239612,33.71924866770279,135.6615361414328,0.5064697304172396,1946.4733586342907,96.17993808430553,11,165.97301057021494,24.07793156622694,17.394865074644308,0.07001065903800503,0.8556085730066846,0.7901890021386699,1726.3107927773563,1.6847399041029167,1726.3107927773563,1.6847399041029167,0.7602270300580615,1027.5787124495141,1021.7712062806118,5479.5283765801605,0.5451148958449862,38723.37962212901,17394.86507464431,56118.24469677332,-5.03764497152469,0.0,0.1295584714739507,0.1295584714739507,1.3277840845617195,1.4573425560356703,1.4573425560356703,7.618138317804645,0.045899862222368915,0.808700958785474,0.09764254755628915,0.09764254755628915,True,0.7602270300580615,0.26022703005806147,0.0,-0.5,3.946189600455115,1.0,0.0,0.09764254755628915,0.01700657904453567,0.08890049284389359,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.0,24.0,100.0,0.5,125.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.6241480404734228,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,5341.2266643858675,40000.0,45341.22666438587,-1.6336946209406045,0.0,0.02936824363018331,0.02936824363018331,1.6,1.6293682436301833,1.6293682436301833,8.512,0.04256,0.8085798585960781,0.6388398590586734,0.6388398590586734,True,0.6241480404734228,0.12414804047342276,0.0,-0.5,4.806551980399503,1.0,0.0,0.6388398590586734,0.003450216591891836,0.01802431325453585,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,300.0,1.0,375.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.7801850505917786,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,6162.042941245836,40000.0,46162.04294124583,-1.7155832800594442,0.0,0.030840321741186984,0.030840321741186984,1.6,1.630840321741187,1.630840321741187,8.512,0.04256,0.8084069170886763,0.6274805230931986,0.6274805230931986,True,0.7801850505917786,0.28018505059177856,0.0,-0.5,3.845241584319603,1.0,0.0,0.6274805230931986,0.003623158099293584,0.018910693665128375,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,300.0,0.5,375.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2255118116898562,1252.1913348359628,1.2255118116898562,0.6241480404734228,1027.6754652782759,1015.8647485191225,28965.78285182363,2.8897686180606548,8504.002884469948,40000.0,48504.00288446995,-1.9492286948340038,0.0,0.03504046745766356,0.03504046745766356,1.6,1.6350404674576635,1.6350404674576635,8.512,0.04256,0.8079134789170979,0.59718334836851,0.59718334836851,True,0.6241480404734228,0.12414804047342276,0.0,-0.5,4.806551980399503,1.0,0.0,0.59718334836851,0.004116596270872129,0.02143094813558238,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
