deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,required_mass_flow_kg_s,required_volumetric_flow_m3_s,actual_mass_flow_kg_s,actual_volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_assist_power_mw,pump_energy_mw,aux_energy_mw,hydra_total_power_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,positive_retrofit_benefit,required_velocity_ms,velocity_margin_ms,natural_velocity_ms,natural_velocity_margin_ms,required_flow_capacity_ratio,actual_cooling_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,pump_fraction_of_baseline,pump_fraction_of_hydra_total,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
4.5,24.0,60.0,1.2,90.0,250.0,2,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.2893005860898445,4264.024408890958,4.170871148612816,1.8439298897252805,1027.7323791967958,1016.9361118493122,26477.845669703653,2.640102147307015,1759.97821528468,10000.0,11759.97821528468,1.4675164269369523,0.05217837942453209,0.0,0.0,1.6,1.5478216205754678,1.5478216205754678,8.54,0.0427,0.8187562505180951,1.0,1.0,True,0.569996003909657,0.06999600390965699,1.8439298897252805,1.3439298897252805,5.263194793336644,3.2349873982933026,3.2349873982933026,2.251521659733167,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.0,144.0,240.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4031.1317565399113,3.9447148828033844,1.6741889938302006,1027.7323791967958,1016.0816232363092,27430.5398333698,2.736238647145015,1908.1756404308862,10000.0,11908.175640430887,1.5483797642257944,0.052046605890953404,0.0,0.0,1.6,1.5479533941090466,1.5479533941090466,8.54,0.0427,0.8187408203619384,1.0,1.0,True,0.520053691510036,0.020053691510035998,1.6741889938302006,1.1741889938302006,5.768635140900843,3.2192618207727732,3.2192618207727732,2.3035048072550306,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,250.0,1.2,300.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,3774.4158395415816,3.6935022805874134,1.6328865146574316,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,2307.5144415976665,10000.0,12307.514441597667,1.6225550466472956,0.051066620591868415,0.0,0.0,1.6,1.5489333794081317,1.5489333794081317,8.54,0.0427,0.8186260679849964,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.6328865146574316,1.1328865146574316,5.537889735264809,3.014248489457907,3.014248489457907,2.3216287194853256,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,230.0,3,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4173.2922518243495,4.083827830571821,1.7332303625913512,1027.7323791967958,1016.0816232363092,26287.60067364606,2.6222287035139726,1659.2415466542634,10000.0,11659.241546654262,1.4592013803132742,0.05077874510064714,0.0,0.0,1.6,1.5492212548993527,1.5492212548993527,8.54,0.0427,0.8185923589110828,1.0,1.0,True,0.520053691510036,0.020053691510035998,1.7332303625913512,1.2332303625913512,5.768635140900843,3.332791192306925,3.332791192306925,2.2546578667623156,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.5,144.0,250.0,1,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,3687.46132705572,3.6084118443908277,2.041943401764065,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,2350.495652535813,10000.0,12350.495652535814,1.6182676045778188,0.04975832445181003,0.0,0.0,1.6,1.55024167554819,1.55024167554819,8.54,0.0427,0.8184728717156686,1.0,1.0,True,0.6934049220133813,0.19340492201338133,2.041943401764065,1.541943401764065,4.326476355675632,2.944806615786698,2.944806615786698,2.313549172192681,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.0,90.0,250.0,3,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.2893005860898445,4104.483199337023,4.014815328070182,1.7039405468359439,1027.7323791967958,1016.9361118493122,26477.845669703653,2.640102147307015,1911.9155892415008,10000.0,11911.9155892415,1.4523667734400831,0.04970759145144228,0.0,0.0,1.6,1.5502924085485577,1.5502924085485577,8.54,0.0427,0.818466931083307,1.0,1.0,True,0.5471961637532707,0.04719616375327074,1.7039405468359439,1.2039405468359439,5.482494576392338,3.1139482688410185,3.1139482688410185,2.222803332624157,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,230.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,4093.8880139354724,4.006125810921943,1.771096459600708,1027.7323791967958,1016.0816232363092,26287.60067364606,2.6222287035139726,1713.0581111791728,10000.0,11713.058111179173,1.4538330950150573,0.04962933347059716,0.0,0.0,1.6,1.5503706665294028,1.5503706665294028,8.54,0.0427,0.8184577673853158,1.0,1.0,True,0.5417225953229541,0.04172259532295408,1.771096459600708,1.271096459600708,5.537889735264809,3.269378967928868,3.269378967928868,2.2442986642879075,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,60.0,1.1,90.0,250.0,2,200.0,40.0,10.0,0.03,0.85,0.84,1252.1913348359628,1.2253476425401362,3674.3828790696507,3.5956137639681476,1.8917676164786315,1027.7323791967958,1016.0816232363092,28573.47899309354,2.850248590776057,2392.108947594951,10000.0,12392.108947594952,1.614116614226643,0.04945466332713811,0.0,0.0,1.6,1.5505453366728619,1.5505453366728619,8.54,0.0427,0.8184373142069248,1.0,1.0,True,0.6446946588967387,0.14469465889673871,1.8917676164786315,1.3917676164786315,4.65336568032668,2.934362167225023,2.934362167225023,2.3057801633223254,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.3,144.0,250.0,2,200.0,36.0,10.0,0.03,0.85,0.84,1391.3237053732921,1.360374502970755,4583.150599043527,4.4812010275790986,1.688059868704602,1027.7323791967958,1017.7686241444916,24436.109265776144,2.4355292507871256,1496.3057476898293,10000.0,11496.305747689828,1.2897008122269247,0.04928798169863202,0.0,0.0,1.6,1.550712018301368,1.550712018301368,8.54,0.0427,0.8184177964518304,1.0,1.0,True,0.5124504771691738,0.012450477169173801,1.688059868704602,1.188059868704602,5.854224229768097,3.294093661556545,3.294093661556545,2.125561880666453,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
4.5,24.0,120.0,1.2,144.0,250.0,2,200.0,38.0,10.0,0.03,0.85,0.84,1318.0961419325927,1.2893005860898445,4040.9258994384386,3.9526465215600703,1.7474534227813086,1027.7323791967958,1016.9361118493122,26477.845669703653,2.640102147307015,1960.3738998680353,10000.0,11960.373899868035,1.4475350023233577,0.04877506914895417,0.0,0.0,1.6,1.5512249308510457,1.5512249308510457,8.54,0.0427,0.8183577364343038,1.0,1.0,True,0.569996003909657,0.06999600390965699,1.7474534227813086,1.2474534227813086,5.263194793336644,3.0657292521269603,3.0657292521269603,2.2137974858792497,0.0,0.0,PASS,NONE,NONE,0,True,True,False,PASSIVE_NATURAL,PASSIVE_STANDALONE,True,True,focus_window
