deep_temp_c,surface_temp_c,intake_depth_m,pipe_diameter_m,pipe_length_m,vertical_lift_height_m,number_of_pipes,it_load_mw,delta_t_c,hx_pressure_drop_kpa,pipe_roughness_mm,turbine_efficiency,pump_efficiency,mass_flow_kg_s,volumetric_flow_m3_s,velocity_ms,rho_cold_kgm3,rho_hot_kgm3,buoyancy_pressure_pa,buoyancy_head_m,friction_losses_pa,heat_exchanger_losses_pa,total_losses_pa,net_head_m,turbine_generation_mw,pump_energy_mw,aux_energy_mw,hydra_net_energy_mw,baseline_cooling_energy_mw,baseline_cooling_fraction,energy_savings_fraction,gravity_assist_fraction,pump_offset_fraction,required_velocity_ms,natural_velocity_ms,required_flow_capacity_ratio,natural_cooling_capacity_ratio,pressure_balance_ratio,classification,failure_mode,constraint_flags,issue_count,cooling_works,passive_natural_feasible,requires_pump_assist,circulation_regime,success_layer,turbine_recovery_active,meets_10pct_target,scenario_family
6.137714024869583,34.110581458829905,558.6555134522623,0.7709520831424159,1163.2468358326032,215.7967968144384,7,187.32450823107808,22.764724590065196,20.961928225067595,0.018378962885591172,0.7654139164455078,0.8839447873616922,2060.785976841833,2.009837253244441,0.6150610112064723,1027.6199177330373,1023.0794346798477,9612.050865900374,0.9555976088992919,10435.620873609174,20961.928225067597,31397.54909867677,-2.1658406005502147,0.0,0.049533982840049125,0.6556357788087733,0.7051697616488225,11.618149014270868,0.062021510820885514,0.9393044657300708,0.3061401651349107,0.3061401651349107,0.6150610112064723,0.0,4.8775649006191335,0.0,0.3061401651349107,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.0,24.0,30.0,1.0,50.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.7795385494028104,1027.7435,1017.4915,25143.030000000163,2.506313455422009,3440.0408007343217,40000.0,43440.04080073432,-1.8238869525224901,0.0,0.027322709565284417,0.7,0.7273227095652844,11.224,0.05612,0.9351993309368065,0.5787984895165001,0.5787984895165001,0.7795385494028104,0.0,3.8484305905054246,0.0,0.5787984895165001,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,100.0,1.0,125.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.7795385494028104,1027.7435,1017.4915,25143.030000000163,2.506313455422009,4067.0167907974237,40000.0,44067.016790797425,-1.8863853212601356,0.0,0.02825896538693008,0.7,0.72825896538693,11.224,0.05612,0.9351159154145643,0.5705634697116783,0.5705634697116783,0.7795385494028104,0.0,3.8484305905054246,0.0,0.5705634697116783,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,30.0,0.5,50.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.6236308395222484,1027.7435,1017.4915,25143.030000000163,2.506313455422009,4388.754036472228,40000.0,44388.75403647223,-1.9184568093801104,0.0,0.028739411806055246,0.7,0.7287394118060553,11.224,0.05612,0.9350731101384485,0.5664279285546351,0.5664279285546351,0.6236308395222484,0.0,4.81053823813178,0.0,0.5664279285546351,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,100.0,0.5,125.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.6236308395222484,1027.7435,1017.4915,25143.030000000163,2.506313455422009,5336.800651113179,40000.0,45336.80065111318,-2.0129602159560838,0.0,0.030155118589435762,0.7,0.7301551185894357,11.224,0.05612,0.9349469780301644,0.5545832444924146,0.5545832444924146,0.6236308395222484,0.0,4.81053823813178,0.0,0.5545832444924146,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,300.0,1.0,375.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.7795385494028104,1027.7435,1017.4915,25143.030000000163,2.506313455422009,6156.936757674429,40000.0,46156.936757674426,-2.094713217052286,0.0,0.03137981812574892,0.7,0.7313798181257489,11.224,0.05612,0.9348378636737572,0.5447291732551918,0.5447291732551918,0.7795385494028104,0.0,3.8484305905054246,0.0,0.5447291732551918,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
2.0010782330417545,31.8821074744173,774.852343114146,0.6622804956719992,1521.504215864879,103.32783069761182,5,124.25584308287739,33.46494689262597,17.83679608051586,0.09516661763992205,0.8191558121143419,0.7763921396437977,929.8809916557857,0.9076167326645116,0.5269369797422987,1028.0221121195893,1021.0388145689533,7078.591762697291,0.7042923688845958,11657.129474994681,17836.796080515862,29493.92555551054,-2.2302385934266353,0.0,0.02620393867968766,0.4348954507900709,0.4610993894697586,7.044714819344301,0.05669523979363728,0.9345467628861837,0.2400016826981769,0.2400016826981769,0.5269369797422987,0.0,5.693280440228669,0.0,0.2400016826981769,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,monte_carlo
5.0,24.0,300.0,0.5,375.0,250.0,10,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.6236308395222484,1027.7435,1017.4915,25143.030000000163,2.506313455422009,8496.95603324968,40000.0,48496.95603324968,-2.327971571209326,0.0,0.03487414120070412,0.7,0.7348741412007042,11.224,0.05612,0.9345265376692173,0.5184455284732101,0.5184455284732101,0.6236308395222484,0.0,4.81053823813178,0.0,0.5184455284732101,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,600.0,1.0,750.0,250.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.7795385494028104,1027.7435,1017.4915,25143.030000000163,2.506313455422009,9291.816707989936,40000.0,49291.816707989936,-2.4072050607405124,0.0,0.03606109723397719,0.7,0.7360610972339772,11.224,0.05612,0.9344207860625465,0.5100852774193777,0.5100852774193777,0.7795385494028104,0.0,3.8484305905054246,0.0,0.5100852774193777,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
5.0,24.0,30.0,1.0,50.0,175.0,2,200.0,40.0,40.0,0.045,0.85,0.82,1252.1913348359628,1.2244962899969567,0.7795385494028104,1027.7435,1017.4915,17600.121000000116,1.7544194187954063,2813.06481067122,40000.0,42813.06481067122,-2.5132826204114473,0.0,0.037650190434229874,0.7,0.7376501904342299,11.224,0.05612,0.9342792061266723,0.41109229338828507,0.41109229338828507,0.7795385494028104,0.0,3.8484305905054246,0.0,0.41109229338828507,PASS,NONE,INSUFFICIENT_NATURAL_CIRCULATION,1,True,False,True,RETROFIT_ASSIST,HYBRID_RETROFIT_ASSIST,False,True,parameter_sweep
